,Unnamed: 0,recordnum,recordtype,recordtypemapped,recordtypedesc,description,opendate,inspectiondate,lastinspresult,statuscurrent,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1
143259,143259,000526-20CP,Complaint,Request,,"My oven isn't working, bathroom sink is leaking, no heat in the bathroom, which has triggered mold. Management will not provide a chair when we have to wait for transportation. There is also lots of moss on sidewalk, causing slipping and falling, especially now that it's cold.",2020-01-17,"{'type': 'Point', 'coordinates': [-122.36126051, 47.64425893]}",Completed,Completed,2701 3RD AVE W,SEATTLE,WA,98119.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000526-20CP'},47.64425893,-122.36126051,"{'latitude': '47.64425893', 'longitude': '-122.36126051'}"
143261,143261,000528-20CP,Complaint,Request,Weeds,Per CSB; overgrown vegetation.,2020-01-17,"{'type': 'Point', 'coordinates': [-122.40822896, 47.57034232]}",,Completed,3724 59TH AVE SW,SEATTLE,WA,98116.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000528-20CP'},47.57034232,-122.40822896,"{'latitude': '47.57034232', 'longitude': '-122.40822896'}"
143328,143328,000586-20CP,Complaint,Request,Weeds,Per CSB; rose bushes growing over sidewalk.,2020-01-21,"{'type': 'Point', 'coordinates': [-122.32585841, 47.52578492]}",Completed,Completed,558 S DONOVAN ST,SEATTLE,WA,98108.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000586-20CP'},47.52578492,-122.32585841,"{'latitude': '47.52578492', 'longitude': '-122.32585841'}"
143329,143329,000587-20CP,Complaint,Request,Weeds,Per CSB; The shrubs at this location are taking over the alley. It is creating a dangerous situation. Please get this resolved. KEB,2020-01-21,"{'type': 'Point', 'coordinates': [-122.28645171, 47.61302644]}",,Completed,3612 E UNION ST,SEATTLE,WA,98122.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000587-20CP'},47.61302644,-122.28645171,"{'latitude': '47.61302644', 'longitude': '-122.28645171'}"
143331,143331,000589-20CP,Complaint,Request,Weeds,Per CSB; Bushes need trimming - are growing far into sidewalk,2020-01-17,"{'type': 'Point', 'coordinates': [-122.30485004, 47.68870613]}",Completed,Completed,8205 22ND AVE NE,SEATTLE,WA,98115.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000589-20CP'},47.68870613,-122.30485004,"{'latitude': '47.68870613', 'longitude': '-122.30485004'}"
143343,143343,000598-20CP,Complaint,Request,Weeds,Per CSB; Garbage and overgrown vegetation taking up a narrow sidewalk on busy 14th Ave s,2020-01-17,"{'type': 'Point', 'coordinates': [-122.31510404, 47.59098865]}",,Completed,1315 14TH AVE S,SEATTLE,WA,98144.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000598-20CP'},47.59098865,-122.31510404,"{'latitude': '47.59098865', 'longitude': '-122.31510404'}"
143347,143347,000602-20CP,Complaint,Request,Weeds,Per Online; Bushes still partially blocking sidewalk. 33rd complaint. Not enough room for 2 people passing in opposite directions.,2020-01-22,"{'type': 'Point', 'coordinates': [-122.34057121, 47.65282519]}",,Closed,1414 N 38TH ST,SEATTLE,WA,98103.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000602-20CP'},47.65282519,-122.34057121,"{'latitude': '47.65282519', 'longitude': '-122.34057121'}"
143360,143360,000613-20CP,Complaint,Request,Weeds,Overgrown vegetation a problem for ADA,2020-01-16,"{'type': 'Point', 'coordinates': [-122.36232328, 47.63148712]}",,Closed,408 W LEE ST,SEATTLE,WA,98119.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000613-20CP'},47.63148712,-122.36232328,"{'latitude': '47.63148712', 'longitude': '-122.36232328'}"
143384,143384,000632-20CP,Complaint,Request,Weeds,"vegetation encroaches into to street, making the street one way at this house.",2020-01-23,"{'type': 'Point', 'coordinates': [-122.30249427, 47.71069178]}",,Completed,11313 24th AVE NE,,,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000632-20CP'},47.71069178,-122.30249427,"{'latitude': '47.71069178', 'longitude': '-122.30249427'}"
143387,143387,000634-20CP,Complaint,Request,Weeds,"PER CSB: Property is addressed as 4510 Delridge Way, but is a through-lot that also abuts 23rd Ave SW. It is the portion of the property that abuts the sidewalk along 23rd Ave SW that has a chronic problem of vegetation overgrowth putting pedestrians in a very precarious position as the sidewalk has no separation from the very busy arterial.PHOTO LINK:http://311-hubpres1.motorolasolutions.com/imageapi/image/seat-prod/IMG_4708_01092020122645.jpeg",2020-01-09,"{'type': 'Point', 'coordinates': [-122.3630626, 47.56254664]}",,Closed,4510 DELRIDGE WAY SW,SEATTLE,WA,98106.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000634-20CP'},47.56254664,-122.3630626,"{'latitude': '47.56254664', 'longitude': '-122.3630626'}"
143388,143388,000635-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetationPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e17ac3fe896c1d5caf8825a/report.jpg,2020-01-09,,,Completed,6217 35,SEATTLE,WA,,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000635-20CP'},,,
143389,143389,000636-20CP,Complaint,Request,Weeds,PER CSB: Bushes so close to curb that can't open car door,2020-01-11,"{'type': 'Point', 'coordinates': [-122.31943273, 47.629259]}",,Completed,1117 FEDERAL AVE E,SEATTLE,WA,98102.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000636-20CP'},47.629259,-122.31943273,"{'latitude': '47.629259', 'longitude': '-122.31943273'}"
143390,143390,000637-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetationPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e1b7fb5e896c1d5caf8b96c/photo_20200112_122005.jpg,2020-01-12,"{'type': 'Point', 'coordinates': [-122.38199559, 47.5513466]}",Completed,Completed,5621 A FAUNTLEROY WAY SW,SEATTLE,WA,98136.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000637-20CP'},47.5513466,-122.38199559,"{'latitude': '47.5513466', 'longitude': '-122.38199559'}"
143405,143405,000645-20CP,Complaint,Request,Weeds,PER CSB: Overgrown vegetationPHOTO LINK:http://servicerequest.seattle.gov/media/seattle/report/photos/5e1dffefe896c1d5caf8ddcd/report.jpg,2020-01-14,"{'type': 'Point', 'coordinates': [-122.27663413, 47.56427018]}",,Completed,4504 S GENESEE ST,SEATTLE,WA,98118.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000645-20CP'},47.56427018,-122.27663413,"{'latitude': '47.56427018', 'longitude': '-122.27663413'}"
143419,143419,000656-20CP,Complaint,Request,Weeds,Per CSB; Sidewalk use and right of way for pedestrians hampered by slippery sidewalk dead leaves & bamboo plants,2020-01-23,"{'type': 'Point', 'coordinates': [-122.27755025, 47.63682219]}",,Completed,1935 43RD AVE E,SEATTLE,WA,98112.0,{'url': 'https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000656-20CP'},47.63682219,-122.27755025,"{'latitude': '47.63682219', 'longitude': '-122.27755025'}"
